Name,Description,Specialization,Key Attribute 1,Key Attribute 2,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25,Skill 26,Skill 27
Acrobat,"Acrobat is a polite euphemism for agile burglars and second-story men. These thieves avoid detection by stealth, and rely on mobility and cunning to avoid capture.",Stealth,Agility,Endurance,Acrobatics,Athletics,Marksman,Sneak,Unarmored,Speechcraft,Alteration,Spear,HandToHand,LightArmor,Block,Armorer,MediumArmor,HeavyArmor,BluntWeapon,LongBlade,Axe,Enchant,Destruction,Illusion,Conjuration,Mysticism,Restoration,Alchemy,Security,ShortBlade,Mercantile
Agent,"Agents are operatives skilled in deception and avoidance, but trained in self-defense and the use of deadly force. Self-reliant and independent, agents devote themselves to personal goals, or to various patrons or causes.",Stealth,Personality,Agility,Speechcraft,Sneak,Acrobatics,LightArmor,ShortBlade,Mercantile,Conjuration,Block,Unarmored,Illusion,Armorer,MediumArmor,HeavyArmor,BluntWeapon,LongBlade,Axe,Spear,Athletics,Enchant,Destruction,Alteration,Mysticism,Restoration,Alchemy,Security,Marksman,HandToHand
Archer,"Archers are fighters specializing in long-range combat and rapid movement. Opponents are kept at distance by ranged weapons and swift maneuver, and engaged in melee with sword and shield after the enemy is wounded and weary.",Combat,Agility,Strength,Marksman,LongBlade,Block,Athletics,LightArmor,Unarmored,Spear,Restoration,Sneak,MediumArmor,Armorer,HeavyArmor,BluntWeapon,Axe,Enchant,Destruction,Alteration,Illusion,Conjuration,Mysticism,Alchemy,Security,Acrobatics,ShortBlade,Mercantile,Speechcraft,HandToHand
Assassin,Assassins are killers who rely on stealth and mobility to approach victims undetected. Execution is with ranged weapons or with short blades for close work. Assassins include ruthless murderers and principled agents of noble causes.,Stealth,Speed,Intelligence,Sneak,Marksman,LightArmor,ShortBlade,Acrobatics,Security,LongBlade,Alchemy,Block,Athletics,Armorer,MediumArmor,HeavyArmor,BluntWeapon,Axe,Spear,Enchant,Destruction,Alteration,Illusion,Conjuration,Mysticism,Restoration,Unarmored,Mercantile,Speechcraft,HandToHand
Barbarian,"Barbarians are the proud, savage warrior elite of the plains nomads, mountain tribes, and sea reavers. They tend to be brutal and direct, lacking civilized graces, but they glory in heroic feats, and excel in fierce, frenzied single combat.",Combat,Strength,Speed,Axe,MediumArmor,BluntWeapon,Athletics,Block,Acrobatics,LightArmor,Armorer,Marksman,Unarmored,HeavyArmor,LongBlade,Spear,Enchant,Destruction,Alteration,Illusion,Conjuration,Mysticism,Restoration,Alchemy,Security,Sneak,ShortBlade,Mercantile,Speechcraft,HandToHand
Bard,"Bards are loremasters and storytellers. They crave adventure for the wisdom and insight to be gained, and must depend on sword, shield, spell and enchantment to preserve them from the perils of their educational experiences.",Stealth,Personality,Intelligence,Speechcraft,Alchemy,Acrobatics,LongBlade,Block,Mercantile,Illusion,MediumArmor,Enchant,Security,Armorer,HeavyArmor,BluntWeapon,Axe,Spear,Athletics,Destruction,Alteration,Conjuration,Mysticism,Restoration,Unarmored,Sneak,LightArmor,ShortBlade,Marksman,HandToHand
Battlemage,"Battlemages are wizard-warriors, trained in both lethal spellcasting and heavily armored combat. They sacrifice mobility and versatility for the ability to supplement melee and ranged attacks with elemental damage and summoned creatures.",Magic,Intelligence,Strength,Alteration,Destruction,Conjuration,Axe,HeavyArmor,Mysticism,LongBlade,Marksman,Enchant,Alchemy,Block,Armorer,MediumArmor,BluntWeapon,Spear,Athletics,Illusion,Restoration,Unarmored,Security,Sneak,Acrobatics,LightArmor,ShortBlade,Mercantile,Speechcraft,HandToHand
Crusader,"Any heavily armored warrior with spellcasting powers and a good cause may call himself a Crusader. Crusaders do well by doing good. They hunt monsters and villains, making themselves rich by plunder as they rid the world of evil.",Combat,Agility,Strength,BluntWeapon,LongBlade,Destruction,HeavyArmor,Block,Restoration,Armorer,HandToHand,MediumArmor,Alchemy,Axe,Spear,Athletics,Enchant,Alteration,Illusion,Conjuration,Mysticism,Unarmored,Security,Sneak,Acrobatics,LightArmor,ShortBlade,Marksman,Mercantile,Speechcraft
Healer,"Healers are spellcasters who swear solemn oaths to heal the afflicted and cure the diseased. When threatened, they defend themselves with reason and disabling attacks and magic, relying on deadly force only in extremity.",Magic,Willpower,Personality,Restoration,Mysticism,Alteration,HandToHand,Speechcraft,Illusion,Alchemy,Unarmored,LightArmor,BluntWeapon,Block,Armorer,MediumArmor,HeavyArmor,LongBlade,Axe,Spear,Athletics,Enchant,Destruction,Conjuration,Security,Sneak,Acrobatics,ShortBlade,Marksman,Mercantile
Knight,"Of noble birth, or distinguished in battle or tourney, knights are civilized warriors, schooled in letters and courtesy, governed by the codes of chivalry. In addition to the arts of war, knights study the lore of healing and enchantment.",Combat,Strength,Personality,LongBlade,Axe,Speechcraft,HeavyArmor,Block,Restoration,Mercantile,MediumArmor,Enchant,Armorer,BluntWeapon,Spear,Athletics,Destruction,Alteration,Illusion,Conjuration,Mysticism,Alchemy,Unarmored,Security,Sneak,Acrobatics,LightArmor,ShortBlade,Marksman,HandToHand
Mage,"Most mages claim to study magic for its intellectual rewards, but they also often profit from its practical applications. Varying widely in temperament and motivation, mages share but one thing in common - an avid love of spellcasting.",Magic,Intelligence,Willpower,Mysticism,Destruction,Alteration,Illusion,Restoration,Enchant,Alchemy,Unarmored,ShortBlade,Conjuration,Block,Armorer,MediumArmor,HeavyArmor,BluntWeapon,LongBlade,Axe,Spear,Athletics,Security,Sneak,Acrobatics,LightArmor,Marksman,Mercantile,Speechcraft,HandToHand
